"Study/Experiment","N","k per condition","syllables","mean effect","sd of effect","Cohen's d","Cohen's dz","sd trial-by-trial"
"Gerten & Topolinski, 2020, Experiment 1","96","10","2","0.0760416666666667","0.198117661896996","0.168135267693102","0.383820735307293","0.453978406447852"
"Ingendahl & Vogel, 2022b","298","27","3","0.108501118568233","0.167047881363268","0.236912737835649","0.64952106954462","0.46119555145518"
"Ingendahl & Vogel, 2022a","349","24","3","0.0544890162368672","0.161046915052628","0.122536513086476","0.338342502363742","0.445522880865712"
"Ingendahl et al., 2021, Pilot","150","12","3","0.0345555555555556","0.191309731632521","0.0705358196802473","0.180626229835144","0.490273494249228"
"Ingendahl et al., 2021, Experiment 1","351","12","3","0.051994301994302","0.200705105474741","0.103403069256826","0.259058193219931","0.503532807301023"
"Ingendahl, Vogel and Wänke, 2022, Experiment 2","165","12","3","0.0828282828282828","0.198159624168028","0.180469965886855","0.417987686321251","0.46088173121635"
"Topolinski et al., 2024, Experiment 1","308","9","2","0.0395382395382395","0.186582573486879","0.0831713978468298","0.211907461663454","0.475836445553307"
"Topolinski et al., 2024, Experiment 2","303","9","2","0.0134946828016135","0.177170742779833","0.0291871948224232","0.0761676707445038","0.462441054974575"
"Topolinski et al., 2024, Experiment 3","401","9","3","0.0459961208090884","0.173626498358103","0.100696672529789","0.264914176373136","0.457389230217161"
"Ingendahl et al., 2023, Experiment 1","87","12","3","0.0203544061302682","0.193658884359066","0.0399717349010897","0.105104427290456","0.509443679876174"
"Ingendahl et al., 2023, Experiment 2","112","27","3","0.0300099206349206","0.158110713976744","0.0625870948246994","0.18980320738628","0.479764938343825"
"Ingendahl et al., 2023, Experiment 3","221","27","3","0.0509468744762862","0.141573104114015","0.102756695716319","0.359862664558491","0.496475780907675"
"Ingendahl et al., 2023, Experiment 4","75","27","3","0.0702469135802469","0.114690433962803","0.147858852813983","0.612491479481454","0.476449788087209"
"Ingendahl et al., 2023, Experiment 5","218","27","3","0.0378865103635746","0.146459216289325","0.0814626326664466","0.258683006255689","0.465483797106942"
"Körner & Rummer, 2022, Experiment 2","80","15","2","0.0593333333333333","0.148308418394883","0.129015022368524","0.400067197637787","0.460946673148867"
